"Lambda","C","Mean","SD"
1.0e-6,0.001,0.00909548861068243,0.0005333019909750553
1.0e-6,0.0017782794100389228,0.01089247093962211,0.001436816014193075
1.0e-6,0.0031622776601683794,0.014985543305333368,0.002623885195350431
1.0e-6,0.005623413251903491,0.021796883307106125,0.0039841709787721245
1.0e-6,0.01,0.02893847735380563,0.005896567204739992
1.0e-6,0.01778279410038923,0.03300105275703098,0.006923505245708637
1.0e-6,0.03162277660168379,0.038764551295201115,0.006477153549172316
1.0e-6,0.056234132519034905,0.03534218787670865,0.007641527473997495
1.0e-6,0.1,0.04383713823139482,0.005457497578210069
1.0e-6,0.17782794100389226,0.06542306446994837,0.009211051918375922
1.0e-6,0.31622776601683794,0.09841688222409509,0.009205485446807035
1.0e-6,0.5623413251903491,0.1282966273899247,0.02151202661818493
1.0e-6,1.0,0.20221473978528587,0.01922527131768045
1.0e-6,1.7782794100389228,0.27205075814816326,0.023270882247547
1.0e-6,3.1622776601683795,0.34656080917330645,0.025435483158655642
1.0e-6,5.623413251903491,0.45548225662253633,0.03183308503324973
1.0e-6,10.0,0.5634269707600825,0.03038661158949271
3.162277660168379e-6,0.001,0.010079661006958772,0.00047193281218938914
3.162277660168379e-6,0.0017782794100389228,0.01049124681027976,0.001553902544090844
3.162277660168379e-6,0.0031622776601683794,0.013927632920509702,0.002668593839002471
3.162277660168379e-6,0.005623413251903491,0.021384825080854125,0.0036071897589246556
3.162277660168379e-6,0.01,0.024026295750663666,0.003957553641614407
3.162277660168379e-6,0.01778279410038923,0.030348282301446032,0.004112756973300193
3.162277660168379e-6,0.03162277660168379,0.03193677578665973,0.006636954093674809
3.162277660168379e-6,0.056234132519034905,0.032424427385584834,0.004922819957921859
3.162277660168379e-6,0.1,0.05390433156178907,0.011593728790053385
3.162277660168379e-6,0.17782794100389226,0.06381376806335312,0.011271334461106475
3.162277660168379e-6,0.31622776601683794,0.09280621320008144,0.015558386494768612
3.162277660168379e-6,0.5623413251903491,0.17440950282900317,0.020348044452787536
3.162277660168379e-6,1.0,0.23263069111966975,0.02882489029225248
3.162277660168379e-6,1.7782794100389228,0.30998798472700156,0.01984559803693451
3.162277660168379e-6,3.1622776601683795,0.4143991169434663,0.028390962186194097
3.162277660168379e-6,5.623413251903491,0.5218578590253173,0.028485745509510857
3.162277660168379e-6,10.0,0.6030805642332342,0.034589431087332936
9.999999999999999e-6,0.001,0.009707630124840725,0.0005587174064077437
9.999999999999999e-6,0.0017782794100389228,0.009554597999777061,0.0010850108985217648
9.999999999999999e-6,0.0031622776601683794,0.013357593542832318,0.002558844662325423
9.999999999999999e-6,0.005623413251903491,0.014321537472819734,0.0017076878717361304
9.999999999999999e-6,0.01,0.020969575919987445,0.0035813880692626998
9.999999999999999e-6,0.01778279410038923,0.03003171178813247,0.004671545375650475
9.999999999999999e-6,0.03162277660168379,0.027385763906698578,0.004992605717546227
9.999999999999999e-6,0.056234132519034905,0.04372945368680953,0.00809407046422783
9.999999999999999e-6,0.1,0.06004757246491206,0.00635025060807721
9.999999999999999e-6,0.17782794100389226,0.09120458961133195,0.011790854574883651
9.999999999999999e-6,0.31622776601683794,0.13521636335361575,0.023129233033955147
9.999999999999999e-6,0.5623413251903491,0.19329372387591104,0.019478540986918917
9.999999999999999e-6,1.0,0.2738063727719168,0.029188455111206952
9.999999999999999e-6,1.7782794100389228,0.38348561310135676,0.03801084530430907
9.999999999999999e-6,3.1622776601683795,0.47635143140631697,0.03325236340515575
9.999999999999999e-6,5.623413251903491,0.5676520616868541,0.035249716619732065
9.999999999999999e-6,10.0,0.676512149461689,0.044183265265591194
3.1622776601683795e-5,0.001,0.009671439455202744,0.00022001148337170786
3.1622776601683795e-5,0.0017782794100389228,0.010342625047829733,0.0010979042594223237
3.1622776601683795e-5,0.0031622776601683794,0.011728227636417902,0.0017496016621879461
3.1622776601683795e-5,0.005623413251903491,0.013931418226051673,0.002214406381704121
3.1622776601683795e-5,0.01,0.021345430876476425,0.003214300569075143
3.1622776601683795e-5,0.01778279410038923,0.02419092110024316,0.004427293010775728
3.1622776601683795e-5,0.03162277660168379,0.03368656799383868,0.005862844319238674
3.1622776601683795e-5,0.056234132519034905,0.05158472276906704,0.010608684726820621
3.1622776601683795e-5,0.1,0.06655762409694857,0.012208773195144
3.1622776601683795e-5,0.17782794100389226,0.11568615494999299,0.01810446223286166
3.1622776601683795e-5,0.31622776601683794,0.17169298048232307,0.018025247101392305
3.1622776601683795e-5,0.5623413251903491,0.24131643428887184,0.0089627494103162
3.1622776601683795e-5,1.0,0.32906190616635544,0.024344314276350074
3.1622776601683795e-5,1.7782794100389228,0.41588946319607817,0.02671885806347708
3.1622776601683795e-5,3.1622776601683795,0.573030967044503,0.038668535198647616
3.1622776601683795e-5,5.623413251903491,0.6820038080546803,0.01988045349838447
3.1622776601683795e-5,10.0,0.7884857231803,0.03036679047078351
0.0001,0.001,0.010225455938411988,0.0008533819638673292
0.0001,0.0017782794100389228,0.010227112586303438,0.0010238928576386318
0.0001,0.0031622776601683794,0.009275082713066166,0.0020722112668704043
0.0001,0.005623413251903491,0.013910244038166972,0.002912089461702136
0.0001,0.01,0.01879278643366334,0.003380131044619704
0.0001,0.01778279410038923,0.027184212254947458,0.006400079615253681
0.0001,0.03162277660168379,0.042713447588743424,0.00905957987751337
0.0001,0.056234132519034905,0.06508640160402127,0.009596018569142504
0.0001,0.1,0.09263518548746905,0.010344745654400323
0.0001,0.17782794100389226,0.16257172136040104,0.029758472493689327
0.0001,0.31622776601683794,0.21089913343003924,0.02545531393086301
0.0001,0.5623413251903491,0.29735411260686584,0.0178551339855863
0.0001,1.0,0.3866806667721449,0.027383812253799537
0.0001,1.7782794100389228,0.5272573452960054,0.029182063827233845
0.0001,3.1622776601683795,0.7108721621795395,0.044632032347464774
0.0001,5.623413251903491,0.88458938976684,0.04975262670257166
0.0001,10.0,1.1869935756280405,0.0346644129514158
