"Lambda","C","Mean","SD"
1.0e-6,0.001,0.35986602526346395,0.0027767112323404553
1.0e-6,0.0017782794100389228,0.355374503801657,0.0037696254110228655
1.0e-6,0.0031622776601683794,0.35482614404371293,0.0039511968420113406
1.0e-6,0.005623413251903491,0.34753193875819666,-1.0
3.162277660168379e-6,0.001,0.3579121663570827,0.003971354038554975
3.162277660168379e-6,0.0017782794100389228,0.35407133767654536,0.0037184518152984327
3.162277660168379e-6,0.0031622776601683794,0.35557315292136404,0.0037444019402222916
9.999999999999999e-6,0.001,0.35494234175031514,0.0046415241656898665
9.999999999999999e-6,0.0017782794100389228,0.35525913671610587,0.0031319334508704663
9.999999999999999e-6,0.0031622776601683794,0.3539768685725102,0.0048670921859227945
3.1622776601683795e-5,0.001,0.35771868518004524,0.0038743510393613287
3.1622776601683795e-5,0.0017782794100389228,0.35412910107674367,0.003461449139855739
3.1622776601683795e-5,0.0031622776601683794,0.35350806846224037,0.004170837803608904
3.1622776601683795e-5,0.005623413251903491,0.34958350408768707,0.0033277058110263245
0.0001,0.001,0.35879557945298346,0.003942010233936541
0.0001,0.0017782794100389228,0.3570937049636178,0.003948553646320281
0.0001,0.0031622776601683794,0.3543292210155928,0.004282618889618381
0.0001,0.005623413251903491,0.34686932857790725,0.002537830564630988
0.0001,0.03162277660168379,0.32770447034246447,-1.0
0.00031622776601683794,0.001,0.35786736303101996,0.0034441429297288875
0.00031622776601683794,0.0017782794100389228,0.35501427816014425,0.0035429030425889645
0.00031622776601683794,0.0031622776601683794,0.3543205887733961,0.004407925953518745
0.00031622776601683794,0.005623413251903491,0.3457403986919824,0.004874969355936323
0.00031622776601683794,0.01,0.33494875042886935,-1.0
0.00031622776601683794,0.01778279410038923,0.34937410930566354,-1.0
0.00031622776601683794,0.03162277660168379,0.3373127030336534,0.003573716577804567
0.001,0.001,0.3594069159025691,0.0031208501359214886
0.001,0.0017782794100389228,0.35645541154295735,0.0044276332921311026
0.001,0.0031622776601683794,0.35493415564800684,0.003787857114606261
0.001,0.005623413251903491,0.3493447739311281,0.005030497360266041
0.001,0.01,0.3390015900902664,0.0041079618988764275
0.001,0.01778279410038923,0.343939582393643,0.005381851502283475
0.001,0.03162277660168379,0.3417129183018872,0.006873119650352866
0.0031622776601683794,0.001,0.3588608462539797,0.004221069198065033
0.0031622776601683794,0.0017782794100389228,0.3587192411607689,0.00397743877480006
0.0031622776601683794,0.0031622776601683794,0.3576860831719678,0.003982482251812957
0.0031622776601683794,0.005623413251903491,0.35747288791390586,0.0041435824717902595
0.0031622776601683794,0.01,0.3583497776369343,0.004964402843126661
0.0031622776601683794,0.01778279410038923,0.3594438069177176,0.00487393112771747
0.0031622776601683794,0.03162277660168379,0.35435244485228495,0.004498371966936814
0.0031622776601683794,0.056234132519034905,0.30954705472902977,0.009123741637394595
0.0031622776601683794,5.623413251903491,0.3521580967974984,0.005255881772533031
0.0031622776601683794,10.0,0.35583269282539653,0.0029496171629447903
0.01,0.001,0.3572050402531663,0.0037542227433074752
0.01,0.0017782794100389228,0.3579348946311552,0.0042212416767094555
0.01,0.0031622776601683794,0.35808208172746364,0.003947287937930928
0.01,0.005623413251903491,0.3575223740683051,0.004619786908693707
0.01,0.01,0.3566801613005584,0.0031183403942588385
0.01,0.01778279410038923,0.35562802228086765,0.00417534008604134
0.01,0.03162277660168379,0.35790407736321184,0.0034820469154670007
0.01,0.056234132519034905,0.3574143480224069,0.003257009435379876
0.01,0.1,0.3574498907495804,0.0016302534154265449
0.01,0.17782794100389226,0.3590657104268031,0.004812039047991799
0.01,1.7782794100389228,0.3588232002099839,0.003127123307928198
0.01,3.1622776601683795,0.35872188175943404,0.0032163558896484657
0.01,5.623413251903491,0.3580766433962388,0.004015158325974456
0.01,10.0,0.3561574143377386,0.004153220554470703
0.03162277660168379,0.001,0.3574668091386698,0.003585156608219584
0.03162277660168379,0.0017782794100389228,0.3554233006837416,0.004038278855436185
0.03162277660168379,0.0031622776601683794,0.3555113473049599,0.004602915981777003
0.03162277660168379,0.005623413251903491,0.3578435435103065,0.0037165667377343733
0.03162277660168379,0.01,0.35925263132988483,0.004047222599424908
0.03162277660168379,0.01778279410038923,0.3581362466094734,0.002862021248780541
0.03162277660168379,0.03162277660168379,0.35771875997330926,0.004269421717937306
0.03162277660168379,0.056234132519034905,0.3562940846850276,0.0036026648113374957
0.03162277660168379,0.1,0.3574257171644145,0.002805664953496183
0.03162277660168379,0.17782794100389226,0.35980491421317085,0.003986265435023155
0.03162277660168379,0.31622776601683794,0.3566138369920343,0.0040414295139935726
0.03162277660168379,0.5623413251903491,0.3577976694828125,0.0035345722258638937
0.03162277660168379,1.0,0.3581134545541395,0.003591958154923081
0.03162277660168379,1.7782794100389228,0.3590806485507644,0.0026593749452258095
0.03162277660168379,3.1622776601683795,0.3581088889396285,0.003986028734330443
0.03162277660168379,5.623413251903491,0.3578418489811229,0.003621113958858802
0.03162277660168379,10.0,0.35839755422495206,0.004070280357172996
0.1,0.001,0.3602599191108141,0.004749336782475803
0.1,0.0017782794100389228,0.3581059588824543,0.0050737885565134535
0.1,0.0031622776601683794,0.35905385256709776,0.0046820893167327775
0.1,0.005623413251903491,0.3568425628411713,0.004508290014877518
0.1,0.01,0.3566044048584035,0.00409834872366973
0.1,0.01778279410038923,0.35704183779811255,0.002921797263169709
0.1,0.03162277660168379,0.35825285104408156,0.004920369852469618
0.1,0.056234132519034905,0.35981039657954994,0.0032140705174734108
0.1,0.1,0.3594197515181986,0.0036897570214984446
0.1,0.17782794100389226,0.3573494013889299,0.003978171818417401
0.1,0.31622776601683794,0.358344043861405,0.0038438725745558646
0.1,0.5623413251903491,0.3582150374422095,0.00380915197000276
0.1,1.0,0.3569764382246223,0.003170523113693497
0.1,1.7782794100389228,0.3574081634852059,0.002973553478289871
0.1,3.1622776601683795,0.35687474077570325,0.003936097470363766
0.1,5.623413251903491,0.3581869838060993,0.004937857080530415
0.1,10.0,0.35751226328573943,0.0034748574721262773
0.31622776601683794,0.001,0.3573795351500465,0.005256838327661091
0.31622776601683794,0.0017782794100389228,0.3570189344650756,0.002183129512042765
0.31622776601683794,0.0031622776601683794,0.3562175059295781,0.005759442314463711
0.31622776601683794,0.005623413251903491,0.35691567667735496,0.0051969834668445375
0.31622776601683794,0.01,0.35898363090675534,0.0048623729909141504
0.31622776601683794,0.01778279410038923,0.35906399913154285,0.0017394540396114503
0.31622776601683794,0.03162277660168379,0.3574031684593266,0.0031518385646987436
0.31622776601683794,0.056234132519034905,0.35629260857176204,0.0029674716100256413
0.31622776601683794,0.1,0.35897977190328045,0.002075033899117813
0.31622776601683794,0.17782794100389226,0.3574672407187634,0.004509949990094463
0.31622776601683794,0.31622776601683794,0.35841995132098475,0.004568756520986388
0.31622776601683794,0.5623413251903491,0.3584195559652273,0.002955362476859156
